twitter,last_name,party,DoF,trump_margin
REPPAULTONKO,Tonko,Democrat,-0.040971781056306174,-13.5
REPSTEFANIK,Stefanik,Republican,0.5849625007211562,13.899999999999999
REPBRINDISI,Brindisi,Democrat,0,15.5
REPTOMREED,Reed,Republican,4.247927513443585,14.799999999999997
REPJOEMORELLE,Morelle,Democrat,-2.805912947883698,-16.4
REPBRIANHIGGINS,Higgins,Democrat,-1,-19.6
REPBEATTY,Beatty,Democrat,0.19029879162659463,-38.4
JIM_JORDAN,Jordan,Republican,0.32192809488736235,33.599999999999994
REPBILLJOHNSON,Johnson,Republican,4.584962500721156,42.599999999999994
REPBOBGIBBS,Gibbs,Republican,1.8746002660495789,29.700000000000003
WARRENDAVIDSON,Davidson,Republican,2.9068905956085187,34.49999999999999
REPMARCYKAPTUR,Kaptur,Democrat,-0.18770715512672886,-22.200000000000003
REPMARCIAFUDGE,Fudge,Democrat,0,-63.5
REPTIMRYAN,Ryan,Democrat,-1.4659383975788818,-6.5
REPDAVEJOYCE,Joyce,Republican,3.321928094887362,11.5
REPKEVINHERN,Hern,Republican,4.906890595608519,28.699999999999996
REPMULLIN,Mullin,Republican,4.129283016944966,50.10000000000001
TOMCOLEOK04,Cole,Republican,3.584962500721156,37.400000000000006
REPBONAMICI,Bonamici,Democrat,-1.9827907099677768,-22.799999999999997
REPGREGWALDEN,Walden,Republican,3.9068905956085187,20.1
REPPETERDEFAZIO,DeFazio,Democrat,-1.1140352432460294,-0.10000000000000142
CONGBOYLE,Boyle,Democrat,-0.6551715030025588,-48.00000000000001
REPDWIGHTEVANS,Evans,Democrat,-0.40545145044964576,-83.9
REPDEAN,Dean,Democrat,1.05866283937856,-19.299999999999997
REPMGS,Scanlon,Democrat,-1.6989977439671857,-28.200000000000003
REPHOULAHAN,Houlahan,Democrat,-2.321928094887362,-9.300000000000004
REPSUSANWILD,Wild,Democrat,0.24123003551544533,-1.1000000000000014
REPMEUSER,Meuser,Republican,3.321928094887362,34
REPSMUCKER,Smucker,Republican,2.807354922057604,25.799999999999997
REPJOHNJOYCE,Joyce,Republican,4.321928094887363,45.7
GRESCHENTHALER,Reschenthaler,Republican,3.2479275134435857,29
CONGRESSMANGT,Thompson,Republican,4.392317422778761,43.3
MIKEKELLYPA,Kelly,Republican,3.9068905956085187,20
USREPMIKEDOYLE,Doyle,Democrat,-0.7369655941662062,-27.5
REPCICILLINE,Cicilline,Democrat,1.1551015581257025,-25.6
JIMLANGEVIN,Langevin,Democrat,-2.6529013293777317,-7.100000000000001
REPCUNNINGHAM,Cunningham,Democrat,0,13.100000000000001
REPJOEWILSON,Wilson,Republican,5,17.699999999999996
REPJEFFDUNCAN,Duncan,Republican,3.0874628412503395,38
REPRALPHNORMAN,Norman,Republican,4.700439718141092,18.5
WHIPCLYBURN,Clyburn,Democrat,-2.5820799921880346,-36.5
REPTOMRICE,Rice,Republican,5.554588851677638,18.9
REPDUSTYJOHNSON,Johnson,Republican,2.584962500721156,29.8
DRPHILROE,Roe,Republican,4.247927513443585,57
REPCHUCK,Fleischmann,Republican,5.672425341971495,35.2
DESJARLAISTN04,DesJarlais,Republican,0.5410191531335592,41.199999999999996
REPJIMCOOPER,Cooper,Democrat,0.41467678042688605,-18.299999999999997
REPJOHNROSE,Rose,Republican,4.392317422778761,48.89999999999999
REPMARKGREEN,Green,Republican,0.9237196787493887,39.3
REPDAVIDKUSTOFF,Kustoff,Republican,4.906890595608519,35.599999999999994
REPCOHEN,Cohen,Democrat,-3.965784284662087,-57.7
REPLOUIEGOHMERT,Gohmert,Republican,1.3538878362849074,46.900000000000006
REPDANCRENSHAW,Crenshaw,Republican,-0.15200309344504995,9.299999999999997
REPRATCLIFFE,Ratcliffe,Republican,-0.6620035364849841,53.60000000000001
REPLANCEGOODEN,Gooden,Republican,3.37851162325373,28.400000000000006
